timestamp,price,volume,market_cap,crypto,price_change,volume_change,market_cap_change,ma_10,ma_50,ma_200,ma_diff,std_10,std_50,momentum,volatility,rsi,macd
2024-05-12 05:03:17.669,61092.78231027553,12736999529.85614,1203315014183.9927,bitcoin,0.0031675231909389368,-0.005882893475097628,0.0031335439117103903,60943.44038959738,61355.50782170951,62657.33248821819,-412.06743211212597,99.21275995742158,914.6088908553382,121.93805030993826,0.0025135722353871637,52.04269720487419,-63.68922008814843
2024-05-12 06:02:13.984,61038.23348450181,12383568745.424395,1201096040088.5715,bitcoin,-0.0008928849482853218,-0.027748354987631618,-0.0018440508672002975,60936.079194807295,61317.46709818016,62649.561751895075,-381.3879033728663,87.35123617852267,886.4720240747752,185.98917193998932,0.002501581895322338,50.32535326964284,-52.36851155832119
2024-05-12 07:07:12.134,60943.72578257829,12177408747.06282,1200073232368.5706,bitcoin,-0.001548336125217653,-0.016647866426852787,-0.0008515619782790695,60932.377199074974,61277.624168075614,62640.05008492769,-345.2469690006401,86.0222635827628,856.5101722486933,24.797067676066945,0.0024144243029384665,47.40656588575553,-50.44129435581999
2024-05-12 08:04:33.723,60770.68605394167,12332546181.342209,1197016125124.235,bitcoin,-0.002839336230508027,0.012739773912640251,-0.0025474339080971964,60918.28675936426,61237.73043113143,62629.46097074087,-319.4436717671706,100.18039345530119,831.9008051338654,-129.1944724411369,0.0022633693763434676,42.5414697730499,-62.16027581939852
2024-05-12 09:03:22.424,61004.177890961204,12494592017.687231,1201616068067.1829,bitcoin,0.0038421787243323458,0.013139690211756871,0.0038428412503384024,60928.613330601926,61194.48066092792,62618.864402671476,-265.86733032599295,103.45907982826095,784.4290034476492,-88.60441931432433,0.002030585732983614,49.9982103922314,-52.00730534264585
2024-05-12 10:05:43.255,60983.31589512767,12160914210.254963,1201205509498.0962,bitcoin,-0.00034197650972067617,-0.026705778544823033,-0.0003416720032273224,60947.48192311988,61152.80388103315,62609.873370728616,-205.32195791327104,92.98424154884906,736.8153799513552,-54.917589374141244,0.002025480718008387,49.38157521147682,-45.124227795240586
2024-05-12 11:02:08.984,61129.68842738917,12532127048.490274,1204056670810.771,bitcoin,0.0024002061893979576,0.030525076636284343,0.0023735832795723777,60963.36633986223,61115.34905400403,62601.98807077204,-151.98271414179908,109.51655737346869,686.7733408210393,185.96264481088292,0.0020136996564703935,53.69652584833421,-27.54082568686863
2024-05-12 12:02:23.943,61124.23072358595,12300467517.544165,1204085801784.1748,bitcoin,-8.928073974567852e-05,-0.01848525234780618,2.419402185127595e-05,60990.56498096464,61075.656692757875,62593.90896638466,-85.09171179323312,112.58402850597311,623.6575294412411,353.5446696442814,0.0019784344566927334,53.513351600363826,-13.886172763617651
2024-05-12 13:06:28.425,61127.32994256733,12276222270.633427,1203812984122.3562,bitcoin,5.070360714065636e-05,-0.0019710833654214,-0.0002265765956332988,61011.40510373116,61038.55487280582,62583.93215497682,-27.14976907466189,117.04997233341905,559.8210349008842,123.15205160612823,0.0019722212172293575,53.61012776136588,-2.7826047396083595
2024-05-12 14:02:29.931,61192.374306342885,12156719514.979425,1205327981197.2888,bitcoin,0.0010640799105190446,-0.009734489407207114,0.0012584986994779168,61040.654481727164,60996.52275470741,62572.80792918162,44.13172701975418,122.50311742924474,456.36008826593576,209.0584112152137,0.0020736214625730717,55.694796163793356,11.137206688530568
